2,Open,Close,High,Low,Volume,ATR,PL,pl_value,SMA_k7,SMA_k20,SMA_k50
2023-06-08 11:19:00,428.3499,428.39,428.49,428.345,106502.0,0.07857308396524805,1,117.85962594785815,1.0003563443982366,1.0005990397587368,1.0005164473940988
2023-06-08 11:20:00,428.4,428.43,428.49,428.39,80037.0,0.08842987913487813,1,132.64481870231748,1.000413302667959,1.0006880431058287,1.0006210857882347
2023-06-08 11:21:00,428.4399,428.66,428.75,428.435,175506.0,0.10512638969128046,1,157.68958453691084,1.0004263791883992,1.0007344926672135,1.0007072687829628
2023-06-08 11:22:00,428.66,428.56,428.675,428.52,104609.0,0.12412860189949695,0,-124.1286018994856,1.0008702436381989,1.0011866348194054,1.0012120070045134
2023-06-08 11:23:00,428.5584,428.56,428.6,428.54,118353.0,0.16735802881703876,1,161.60000000002128,1.000464496437571,1.0008558311489937,1.0009531933284455
2023-06-08 11:24:00,428.56,428.6711,428.7,428.55,149165.0,0.181378912251467,1,165.00000000002046,1.000314040295458,1.0007756151129448,1.000940640366302
2023-06-08 11:25:00,428.68,428.635,428.68,428.59,89121.0,0.18855183776301482,1,269.9999999999818,1.000500723812308,1.0009938953102544,1.0012038408839996
2023-06-08 11:26:00,428.63,428.72,428.74,428.63,74732.0,0.19743909320043768,1,296.1586398006375,1.0002539631147411,1.000809370693272,1.0010636830037902
2023-06-08 11:27:00,428.73,428.725,428.77,428.675,104109.0,0.20074470804861652,1,301.1170620729331,1.000393909414435,1.0009914421804107,1.0012724448520003
2023-06-08 11:28:00,428.73,428.95,428.95,428.73,190066.0,0.21123834360628121,1,316.8575154094242,1.0002838755583146,1.000916660643377,1.001247190661244
2023-06-08 11:29:00,428.95,429.1,429.2,428.945,783364.0,0.21341919336189288,1,79.99999999998408,1.0007004052992445,1.0013566345602245,1.0017335045586522
2023-06-08 11:30:00,429.095,429.0609,429.1154,429.0,140381.0,0.2391840488788869,0,-157.50000000002728,1.0009419367600736,1.0015945870406109,1.0020342162125935
2023-06-08 11:31:00,429.05,428.92,429.12,428.91,179775.0,0.264013166518719,0,-139.70000000000482,1.0006580317354545,1.001366250528836,1.001885145969797
2023-06-08 11:32:00,428.92,429.03,429.03,428.88,174995.0,0.2582771993697647,0,-150.0000000000341,1.0001915475879162,1.0009551219628765,1.0015397167052025
2023-06-08 11:33:00,429.021,428.9375,429.06,428.91,106659.0,0.24959774743336835,0,-249.59774743336993,1.000347089791996,1.0011032130759987,1.0017404680537485
2023-06-08 11:34:00,428.938,428.9103,428.99,428.88,95532.0,0.24142822121699656,0,-298.0000000000018,1.0000233139361385,1.0008089992126998,1.0015092053400436
2023-06-08 11:35:00,428.92,428.77,428.96,428.73,381890.0,0.22449018708005838,0,-224.49018708005042,0.9999120792459063,1.0006843484564318,1.0014336012772926
2023-06-08 11:36:00,428.76,428.75,428.84,428.705,219778.0,0.2046127033713995,0,-120.00000000000455,0.999475838974003,1.0002218049473235,1.001025446395573
2023-06-08 11:37:00,428.7462,428.64,428.77,428.6399,59739.0,0.1805249308729058,0,-206.19999999996708,0.9995069111041247,1.0001121768416474,1.0009647167491047
2023-06-08 11:38:00,428.65,428.705,428.72,428.63,72228.0,0.17661951356356387,1,30.00000000002956,0.9993987386968737,0.9998334116359289,1.000711799894881
2023-06-08 11:39:00,428.73,428.64,428.73,428.58,118324.0,0.16834650434093248,0,-168.34650434094556,0.999718450162081,0.9999780286123446,1.0008681894810143
2023-06-08 11:40:00,428.64,428.54,428.655,428.54,57393.0,0.15434726708673738,1,50.00000000001137,0.9995718519223289,0.999723795514922,1.0006281892601565
2023-06-08 11:41:00,428.54,428.68,428.71,428.5,87102.0,0.15755970236556732,1,236.3395535483619,0.9994655132788398,0.9994625911990083,1.0003668400807042
2023-06-08 11:42:00,428.6899,428.73,428.75,428.65,50695.0,0.16729640875091673,0,-149.90000000000236,0.9999477171871034,0.9998005249507883,1.0006898970507436
2023-06-08 11:43:00,428.7116,428.69,428.79,428.66,58023.0,0.16928309256559762,0,-169.2830925655926,1.000075014427197,0.9998476480514896,1.0007139259918896
2023-06-08 11:44:00,428.6938,428.7242,428.73,428.65,53703.0,0.17008804806699382,0,-170.08804806698663,1.0000496216275914,0.9997882736386151,1.000643105141811
2023-06-08 11:45:00,428.72,428.54,428.72,428.53,93989.0,0.1694059860076974,0,-169.40598600768908,1.0001282053290161,0.9998337769349436,1.000676053866379
2023-06-08 11:46:00,428.535,428.57,428.63,428.52,51704.0,0.15048788117636988,0,-150.48788117638878,0.9996733123155259,0.9993976701243741,1.0002180974236865
2023-06-08 11:47:00,428.58,428.5,428.65,428.49,58294.0,0.1435742963466249,0,-143.57429634662822,0.9998432610395568,0.9995136880120568,1.000310054571537
2023-06-08 11:48:00,428.495,428.35,428.5,428.335,123930.0,0.14124938263666192,0,-141.24938263665854,0.9996649525242759,0.9993329345672421,1.0000962624307115
2023-06-08 11:49:00,428.3462,428.37,428.44,428.34,73714.0,0.1271089053116391,1,190.66335796748035,0.9993327945874874,0.9990132805108296,0.9997347336082754
2023-06-08 11:50:00,428.37,428.39,428.42,428.36,35859.0,0.1361459136717789,1,111.69999999998481,0.9995028135234721,0.9991391384342765,0.9997792629662842
2023-06-08 11:51:00,428.39,428.54,428.54,428.35,56442.0,0.13239495494631656,1,198.59243241950253,0.9996633041530265,0.9992702754111714,0.9998086736024544
2023-06-08 11:52:00,428.54,428.525,428.55,428.475,58984.0,0.1375857664980539,1,209.99999999997954,1.0001146215412084,0.9996971212121797,1.0001363465852433
2023-06-08 11:53:00,428.53,428.4817,428.6,428.475,61281.0,0.13091617638051986,1,196.37426457080664,1.0001513041800163,0.9997181038968463,1.0000812657919804
